DateTime,AddedIPs,RemovedIPs
1579633815,1,0
1579635733,1,0
1579640274,0,2
1579653014,1,1
1579654535,2,0
1579655653,0,2
1579659254,1,0
1579664019,0,1
1579666515,0,1
1579669821,2,0
1579671737,0,1
1579676025,1,0
1579680034,1,0
1579682416,0,1
1579684455,1,0
1579688053,0,1
1579689733,0,1
1579696931,1,0
1579702456,0,2
1579706115,1,0
1579706892,1,0
1579709652,1,4
1579711811,1,0
1579713254,0,2
1579715678,1,0
1579716852,1,0
1579717994,1,2
1579725733,0,1
1579727723,0,1
1579733412,5,0
1579743613,0,2
1579744836,0,1
1579746756,0,1
1579750934,2,0
1579773986,2,1
1579776972,0,1
1579779315,0,1
1579784171,0,1
1579785255,0,4
1579786647,0,1
1579790535,0,2
1579793417,0,7
1579795788,1,0
1579805681,0,1
1579809312,1,0
1579812134,1,0
1579815616,0,1
1579824614,0,3
1579830132,0,1
1579835652,1,0
1579836492,2,0
1579839316,0,1
1579842621,0,1
1579845375,3,0
1579846471,0,1
1579848019,2,0
1579850053,1,0
1579851733,3,0
1579852574,1,0
1579855333,0,1
1579856172,1,0
1579859254,2,0
1579860615,1,0
1579864454,1,0
1579866972,0,1
1579869234,1,0
1579873216,1,0
1579874174,1,0
1579875254,3,0
1579876486,0,1
1579877829,1,0
1579879214,0,1
1579882519,0,1
1579886892,0,1
1579887735,0,2
1579895326,1,0
1579904054,0,5
1579905733,1,0
1579907654,0,1
1579910114,1,0
1579914852,1,0
1579918453,1,0
1579920132,2,0
1579922053,4,0
1579934116,2,1
1579935633,2,0
1579938014,1,0
1579945333,0,1
1579950623,1,0
1579965015,0,1
1579967774,3,0
1579970415,1,0
1579971372,1,0
1579976116,1,0
1579978575,2,0
1579979716,1,1
1579981335,1,1
1579984813,1,0
1579986855,1,0
1579997654,1,0
1580002932,1,0
1580007993,1,3
1580010803,1,0
1580017335,1,2
1580020217,0,1
1580021774,0,2
1580022914,0,2
1580030054,0,1
1580036115,1,0
1580044449,0,1
1580046134,0,3
1580047252,0,1
1580054133,0,9
1580062456,1,0
1580063592,4,0
1580064972,1,0
1580066052,0,1
1580067737,1,0
1580069716,1,0
1580075857,0,1
1580080455,0,1
1580085733,0,1
1580090112,0,2
1580092934,0,4
1580104571,0,2
1580105715,0,2
1580107219,1,0
1580114418,0,2
1580116216,2,0
1580118136,2,1
1580118974,1,0
1580120065,1,0
1580122836,2,0
1580125328,1,0
1580136976,1,0
1580138056,0,3
1580140207,0,1
1580141415,0,1
1580142617,2,0
1580146940,0,1
1580148097,0,1
1580151639,0,1
1580154314,1,1
1580155821,0,1
1580159714,0,1
1580164093,1,0
1580169314,0,1
1580170453,1,0
1580175016,1,0
1580176572,1,0
1580179336,0,2
1580182092,1,0
1580183775,0,1
1580186113,0,1
1580193618,1,0
1580195414,2,0
1580204716,1,0
1580205877,0,1
1580207687,1,0
1580208917,3,0
1580218512,0,1
1580226133,1,0
1580229017,1,0
1580233899,3,6
1580236216,1,1
1580237771,1,0
1580239692,1,0
1580240536,0,1
1580243291,1,0
1580246056,1,0
1580252171,1,0
1580253286,1,0
1580260453,4,0
1580272934,1,0
1580281813,1,0
1580287336,0,2
1580289315,0,1
1580290502,0,1
1580291711,1,0
1580294535,0,2
1580302467,1,0
1580304496,2,0
1580305777,0,1
1580312316,0,6
1580324495,0,1
1580325613,1,0
1580334976,0,1
1580341333,0,1
1580345444,0,1
1580346615,0,1
1580351415,0,1
1580362935,1,1
1580364615,2,0
1580365872,0,2
1580375652,3,1
1580376494,1,0
1580377334,0,2
1580379253,1,3
1580382915,1,0
1580386214,1,0
1580397253,1,0
1580398934,1,1
1580402532,1,0
1580404213,0,3
1580407813,4,2
1580409734,0,1
1580415021,1,1
1580416213,0,1
1580417412,1,1
1580422214,0,1
1580424505,3,1
1580426053,1,0
1580429655,0,3
1580431256,0,1
1580432435,1,0
1580442136,0,1
1580447655,1,0
1580448494,1,0
1580452513,0,1
1580454614,1,0
1580460016,1,1
1580469254,1,0
1580472858,0,1
1580474536,0,1
1580481315,2,0
1580482576,1,0
1580496133,1,1
1580498367,1,0
1580501654,1,0
1580505014,1,0
1580506216,4,0
1580509795,3,0
1580511371,2,0
1580512515,4,0
1580517736,0,1
1580519039,1,0
1580520311,1,0
1580521511,1,0
1580524217,1,0
1580524933,1,0
1580531294,1,0
1580532802,0,1
1580546414,0,1
1580553731,0,1
1580561711,2,0
1580562910,1,0
1580568015,3,2
1580569336,1,0
1580572643,1,6
1580577252,0,2
1580578936,0,2
1580584515,1,1
1580587815,0,1
1580593766,1,1
1580595252,1,3
1580596947,1,0
1580598854,1,0
1580602214,0,1
1580612456,1,0
1580616854,1,0
1580618545,0,2
1580625312,1,1
1580627415,1,0
1580628491,1,0
1580629355,0,1
1580639955,4,1
1580645716,2,0
1580646491,1,0
1580648174,1,0
1580651399,1,0
1580652854,0,3
1580654532,1,0
1580656454,1,0
1580658976,1,0
1580660115,1,0
1580663652,1,0
1580665471,1,0
1580668214,1,1
1580670372,1,0
1580671815,0,1
1580674451,0,1
1580675291,1,0
1580676975,0,4
1580679615,0,3
1580681037,0,2
1580683690,0,4
1580686217,1,0
1580690531,0,3
1580692011,1,0
1580694912,0,1
1580702159,0,1
1580703257,2,0
1580706852,1,0
1580711415,0,1
1580714057,1,1
1580719167,1,0
1580732115,0,2
1580733314,1,1
1580737981,0,1
1580739254,0,3
1580741345,0,1
1580755337,0,1
1580758114,2,0
1580760853,1,0
1580764214,0,1
1580765417,0,1
1580766169,0,1
1580773341,1,0
1580776946,0,1
1580846204,14,22
1580847315,1,0
1580854214,1,0
1580855419,0,1
1580863337,0,1
1580866935,0,1
1580872217,1,0
1580874614,0,1
1580877020,0,1
1580881334,1,0
1580883256,0,1
1580890455,1,1
1580896572,1,0
1580900957,1,0
1580902933,0,1
1580904854,1,0
1580910134,2,0
1580912119,1,0
1580915009,1,0
1580916662,0,2
1580919311,2,0
1580920508,1,0
1580921706,1,0
1580927563,0,1
1580929814,0,2
1580931732,2,0
1580940852,1,0
1580944452,2,1
1580953701,1,0
1580955253,0,1
1580958852,1,0
1580960534,0,1
1580962452,1,0
1580966115,3,0
