DateTime,AddedIPs,RemovedIPs
1580755331,5,16
1580756170,3,0
1580758094,9,5
1580760851,6,32
1580762411,51,16
1580764211,2,45
1580765414,4,16
1580766167,4,9
1580766970,1,0
1580768111,5,13
1580768890,2,1
1580769734,5,35
1580771420,1,19
1580773335,5,15
1580775266,14,8
1580776937,3,22
1580777770,4,3
1580778913,0,6
1580846202,163,652
1580847311,1,11
1580848731,7,21
1580850043,3,23
1580851690,9,3
1580853010,3,14
1580854211,4,3
1580855415,9,6
1580856610,6,6
1580857819,3,8
1580858893,3,2
1580860511,5,9
1580861715,10,2
1580863334,4,13
1580864170,2,2
1580865311,4,5
1580866933,6,2
1580867771,3,1
1580868852,1,4
1580870529,5,6
1580872214,3,4
1580873372,8,7
1580874610,3,7
1580875812,1,5
1580877016,7,7
1580878211,3,4
1580879651,4,8
1580880491,7,1
1580881332,1,9
1580882173,2,2
1580883253,3,4
1580884089,0,1
1580885710,12,9
1580886851,5,8
1580887955,7,6
1580890452,16,7
1580891294,6,1
1580892135,7,9
1580893365,11,4
1580894890,13,3
1580896570,12,7
1580897669,4,9
1580898491,1,1
1580899633,9,10
1580900955,3,6
1580902931,12,6
1580904851,13,3
1580906532,12,8
1580907695,5,8
1580908813,9,2
1580910132,5,8
1580910972,10,0
1580912112,3,14
1580913731,6,4
1580915007,7,2
1580916657,7,8
1580917978,6,8
1580919304,9,8
1580920504,7,15
1580921703,7,1
1580922903,1,11
1580924531,8,11
1580926450,7,3
1580927561,4,10
1580928659,7,7
1580929811,10,7
1580931730,16,6
1580933649,15,5
1580934493,11,0
1580935329,4,13
1580936172,11,1
1580937252,7,7
1580938932,14,3
1580939768,10,1
1580940849,2,6
1580942120,0,709
1580944450,708,0
1580945725,7,5
1580947823,6,4
1580949732,5,5
1580950572,1,1
1580951650,3,2
1580952489,10,1
1580953698,0,9
1580955251,2,3
1580956089,7,0
1580958850,6,11
1580960532,6,10
1580962450,3,4
1580963713,3,5
1580964909,4,1
1580966105,0,710
1580967342,712,0
1580968566,0,712
1580969650,718,0
1580970491,10,0
1580972357,11,11
1580974091,10,6
1580974932,9,6
1580975772,4,1
1580976914,9,3
1580977690,6,3
1580979281,14,9
1580980452,5,5
1580981709,16,7
1580982912,11,3
1580984049,4,10
1580985559,8,7
1580987650,8,7
1580988937,8,4
1580990828,11,2
1580992089,4,4
1580994257,15,7
1580995657,2,3
1580997267,3,4
1580998512,1,6
1580999663,3,4
1581000768,1,2
1581001904,8,6
1581002891,1,0
1581004230,1,10
1581005428,5,2
1581006760,8,2
1581007922,0,9
1581009249,5,5
1581010089,8,0
1581011402,5,17
1581012847,0,767
1581013997,759,0
1581015132,5,2
1581016448,5,9
1581018130,3,7
1581020053,3,5
1581021472,3,7
1581022835,4,6
1581024490,7,1
1581025331,1,11
1581026170,3,1
1581027311,2,2
1581028089,6,0
1581028931,1,11
1581030141,5,3
1581031803,8,4
1581032960,3,4
1581034213,0,4
1581035426,10,7
1581036914,7,6
1581038023,4,3
1581038889,7,0
1581039731,1,9
1581041654,1,4
1581043223,4,3
1581044741,2,4
1581045267,0,1
1581046089,1,0
1581046930,3,7
1581048611,0,8
1581050531,9,3
1581051983,11,6
1581053293,9,1
1581054132,1,10
1581056052,7,4
1581057729,6,17
1581059650,2,10
1581060492,5,1
1581061691,14,18
1581063251,13,9
1581064356,11,15
1581065772,18,7
1581066915,6,9
1581068532,13,10
1581070452,10,5
1581071290,4,0
1581072131,5,11
1581073625,14,12
1581074925,17,2
1581075731,2,17
1581077651,11,4
1581079334,11,11
1581080434,4,6
1581082088,1,2
1581083769,4,6
1581084852,7,2
1581086531,7,9
1581088454,11,3
1581089604,8,9
1581091467,9,8
